url,status,crawl_status
https://rallybound.com,200,finished
https://rallybound.com/,200,finished
https://rallybound.com/10-nonprofits-email-tips-from-mailchimp-research/,200,finished
https://rallybound.com/2013/06/,200,finished
https://rallybound.com/2013/07/,200,finished
https://rallybound.com/2013/08/,200,finished
https://rallybound.com/2013/09/,200,finished
https://rallybound.com/2013/10/,200,finished
https://rallybound.com/2013/11/,200,finished
https://rallybound.com/2013/12/,200,finished
https://rallybound.com/2014-fundraising-tips/,200,finished
https://rallybound.com/2014/01/,200,finished
https://rallybound.com/2014/02/,200,finished
https://rallybound.com/2014/03/,200,finished
https://rallybound.com/2014/04/,200,finished
https://rallybound.com/2014/05/,200,finished
https://rallybound.com/2014/06/,200,finished
https://rallybound.com/2014/07/,200,finished
https://rallybound.com/2014/08/,200,finished
https://rallybound.com/2014/09/,200,finished
https://rallybound.com/2014/10/,200,finished
https://rallybound.com/2014/11/,200,finished
https://rallybound.com/2014/12/,200,finished
https://rallybound.com/2015-top-10-nonprofit-fundraising-events-infographic/,200,finished
https://rallybound.com/2015/01/,200,finished
https://rallybound.com/2015/02/,200,finished
https://rallybound.com/2015/03/,200,finished
https://rallybound.com/2015/04/,200,finished
https://rallybound.com/2015/05/,200,finished
https://rallybound.com/2015/06/,200,finished
https://rallybound.com/2015/07/,200,finished
https://rallybound.com/2015/08/,200,finished
https://rallybound.com/2015/09/,200,finished
https://rallybound.com/2015/10/,200,finished
https://rallybound.com/2015/11/,200,finished
https://rallybound.com/2015/12/,200,finished
https://rallybound.com/2016/01/,200,finished
https://rallybound.com/2016/02/,200,finished
https://rallybound.com/2016/03/,200,finished
https://rallybound.com/2016/04/,200,finished
https://rallybound.com/2016/05/,200,finished
https://rallybound.com/2016/06/,200,finished
https://rallybound.com/2016/07/,200,finished
https://rallybound.com/2016/09/,200,finished
https://rallybound.com/2016/10/,200,finished
https://rallybound.com/2016/11/,200,finished
https://rallybound.com/2016/12/,200,finished
https://rallybound.com/2017-review-fundraising-platform/,200,finished
https://rallybound.com/2017/01/,200,finished
https://rallybound.com/2017/02/,200,finished
https://rallybound.com/2017/03/,200,finished
https://rallybound.com/2017/04/,200,finished
https://rallybound.com/2017/05/,200,finished
https://rallybound.com/2017/06/,200,finished
https://rallybound.com/2017/07/,200,finished
https://rallybound.com/2017/08/,200,finished
https://rallybound.com/2017/09/,200,finished
https://rallybound.com/2017/10/,200,finished
https://rallybound.com/2017/11/,200,finished
https://rallybound.com/2017/12/,200,finished
https://rallybound.com/2018-year-review/,200,finished
https://rallybound.com/2018/01/,200,finished
https://rallybound.com/2018/02/,200,finished
https://rallybound.com/2018/03/,200,finished
https://rallybound.com/2018/04/,200,finished
https://rallybound.com/2018/05/,200,finished
https://rallybound.com/2018/06/,200,finished
https://rallybound.com/2018/07/,200,finished
https://rallybound.com/2018/08/,200,finished
https://rallybound.com/2018/09/,200,finished
https://rallybound.com/2018/10/,200,finished
https://rallybound.com/2018/11/,200,finished
https://rallybound.com/2018/12/,200,finished
https://rallybound.com/2019/01/,200,finished
https://rallybound.com/2019/02/,200,finished
https://rallybound.com/2019/03/,200,finished
https://rallybound.com/2019/04/,200,finished
https://rallybound.com/2019/05/,200,finished
https://rallybound.com/2019/06/,200,finished
https://rallybound.com/2019/07/,200,finished
https://rallybound.com/2019/09/,200,finished
https://rallybound.com/2019/11/,200,finished
https://rallybound.com/360-views-4-examples-of-humanitarian-virtual/,200,finished
https://rallybound.com/4-reasons-why-nonprofit-fundraising-professionals-should-code/,200,finished
https://rallybound.com/4-takeaways-from-up-4-the-fight/,200,finished
https://rallybound.com/4-things-we-learned-dreamforce-2016/,200,finished
https://rallybound.com/4-ways-to-enhance-your-2015-fundraising/,200,finished
https://rallybound.com/5-great-fundraising-event-promotion-videos-created/,200,finished
https://rallybound.com/5-nonprofit-fundraising-campaigns-helping-central-america/,200,finished
https://rallybound.com/5-organizations-who-salute-our-veterans/,200,finished
https://rallybound.com/5-tips-for-summer-fundraising/,200,finished
https://rallybound.com/5-ways-football-is-like-peer-to-peer-fundraising/,200,finished
https://rallybound.com/5-ways-soccer-is-like-peer-to-peer-fundraising/,200,finished
https://rallybound.com/5-ways-to-leverage-4th-of-july-for-p2p-fundraising/,200,finished
https://rallybound.com/6-great-charity-online-fundraising-campaigns-in-africa/,200,finished
https://rallybound.com/6-organizations-embracing-non-traditional/,200,finished
https://rallybound.com/6-organizations-who-support-our-bravest/,200,finished
https://rallybound.com/7-best-practices-for-success-on-rallybound/,200,finished
https://rallybound.com/7-organizations-using-soccer-for-good/,200,finished
https://rallybound.com/7-ways-to-empathize-with-your-fundraisers/,200,finished
https://rallybound.com/Features/Integrations,200,finished
https://rallybound.com/Info/Demo,404,finished
https://rallybound.com/Info/Donor,200,finished
https://rallybound.com/a-little-fundraising-innovation-cant-hurt/,200,finished
https://rallybound.com/a-note-on-fundraising-for-independence-day/,200,finished
https://rallybound.com/a-well-oiled-registration-flow/,200,finished
https://rallybound.com/achievement-badges-nonprofit-fundraisers/,200,finished
https://rallybound.com/activity-stream-campaigns/,200,finished
https://rallybound.com/admin-upgrade-live/,200,finished
https://rallybound.com/aligning-digital-and-analog-for-fundraising/,200,finished
https://rallybound.com/all-nonprofits-should-consider-a-matching-donation/,200,finished
https://rallybound.com/amp-up-social-fundraising-at-15ntc/,200,finished
https://rallybound.com/amply-integration-matching-donations/,200,finished
https://rallybound.com/an-update-on-our-software-july-2013/,200,finished
https://rallybound.com/analysis-paralysis-salesforce-to-the-rescue/,200,finished
